date,calls,input_tokens,cache_write_tokens,cache_read_tokens,output_tokens,estimated_cost_usd,source
2026-05-26,44,141,62816,2505940,29111,1.42443,OMEGA
2026-05-25,16,46,142388,810831,23127,1.124247,OMEGA
2026-05-24,378,7063,902947,24413399,234715,14.251985,OMEGA
2026-05-12,18,95000,8000,62000,14000,0.5436,KING-BEHEMOTH
2026-05-11,22,120000,12000,75000,18000,0.6975,KING-BEHEMOTH
2026-05-10,14,65000,6000,40000,10000,0.3795,KING-BEHEMOTH
2026-05-09,8,30000,4000,15000,5000,0.1845,KING-BEHEMOTH
2026-05-08,20,110000,10000,68000,16000,0.6279,KING-BEHEMOTH
2026-05-07,12,55000,5000,32000,8000,0.31335,KING-BEHEMOTH
2026-05-06,5,20000,2000,10000,3000,0.1155,KING-BEHEMOTH
